Department,University,City/Cities,Marks required,Labs Avalible,Course Description,Admission dates,shifts,online,offered courses,clean_text
"IT, Eng",Beijing University of Technology,Beijing,~72%,Yes,Applied engineering programs,AprilJune,Day,Partial,"BEng, MSc",apply engineering program
"Social Sci, Business",Shanghai University,Shanghai,~70%,Yes,Wide suite including management,MarchJune,Day,Partial,"BA, BSc, MBA",wide suite include management
"IT, Eng",Zhengzhou University,Zhengzhou,~72%,Yes,Large comprehensive university,AprilJune,Day,Partial,"BA, BSc, MSc",large comprehensive university
"Eng, IT",Xiamen University,Xiamen,~75%,Yes,Strong engineering and business,MarchJune,Day,Partial,"BA, BSc, MSc",strong engineering business
"IT, Eng, Business",Southeast University,Nanjing,~75%,Yes,"Engineering, business programs",AprilJune,Day,Partial,"BEng, MSc",engineering   business program
"IT, Eng",Northwestern Polytechnical University,Xian,~80%,Yes,Aerospace and engineering power,MarchMay,Day,Partial,"BEng, MSc",aerospace engineering power
"IT, Eng",Hunan University,Changsha,~75%,Yes,Engineering and science programs,AprilJune,Day,Partial,"BEng, MSc",engineering science program
"Business, Social Sci",Beijing Foreign Studies University,Beijing,~80%,Yes,"Languages, social sciences, management",MarchJune,Day,Partial,"BA, MSc",language   social science   management
"Life Sci, Health Sci",Harbin Medical University,Harbin,~75%,Yes,Medical and health faculty,MarchJune,Day,No,"MBBS, MSc",medical health faculty
"IT, Eng",University of Electronic Science & Technology of China,Chengdu,~78%,Yes,Electronic and computing focused,AprilJune,Day,Partial,"BEng, MSc",electronic computing focus
"Business, Social Sci",Southwestern University of Finance and Economics,Chengdu,~78%,Yes,"Finance, economics, business",MarchJune,Day,Partial,"BBA, MSc",finance   economics   business
"Eng, IT",Beijing University of Posts & Telecommunications,Beijing,~78%,Yes,Telecom and computing,MarchJune,Day,Partial,"BEng, MSc",telecom computing
"Life Sci, Health Sci",Tongji Medical College,Wuhan,~75%,Yes,Medical & health programs,MarchJune,Day,No,"MBBS, MSc",medical    health program
"IT, Business",University of Shanghai for Science & Technology,Shanghai,~72%,Yes,Engineering and business,AprilJune,Day,Partial,"BEng, BBA, MSc",engineering business
"IT, Eng",Tianjin Medical University,Tianjin,~75%,Yes,Medical and biomedical programs,MarchJune,Day,No,"MBBS, MSc",medical biomedical program
"Business, Social Sci",Beijing Sport University,Beijing,~70%,Yes,"Sports science, management",MarchJune,Day,Partial,"BSc, MSc",sport science   management
"Eng, IT",Guangdong University of Technology,Guangzhou,~70%,Yes,Technology and engineering,AprilJune,Day,Partial,"BEng, MSc",technology engineering
"IT, Eng",Lanzhou University,Lanzhou,~70%,Yes,Comprehensive science & tech,AprilJune,Day,Partial,"BA, BSc, MSc",comprehensive science    tech
"IT, Business, Social Sci",Beijing Information Science & Technology University,Beijing,~70%,Yes,"Applied science, IT, management, business programs",March/Sept,Day,No,"BEng, BSc, BBA",apply science     management   business program
"Engineering, Science",China University of Mining & Technology (Beijing),Beijing,~70%,Yes,"Mining, geosciences, engineering tech",March/Sept,Day,No,"BEng Mining, MSc, PhD",mining   geoscience   engineering tech
"Engineering, Earth Sci",China University of Petroleum (Beijing),Beijing,~72%,Yes,"Petroleum engineering, energy studies",March/Sept,Day,No,"BEng, MSc, PhD",petroleum engineering   energy study
"Earth Sci, Eng",China University of Geosciences (Beijing),Beijing,~70%,Yes,"Geoscience, environmental programs",March/Sept,Day,No,"BSc, MSc",geoscience   environmental program
Humanities & Social Sci,Beijing Union University,Beijing,~65%,Yes,"Social sciences, management, education",March/Sept,Day,No,"BA, BSc",social sciences   management   education
"Social Sci, Humanities",Beijing City University,Beijing,~65%,Yes,"Business, social studies",March/Sept,Day,No,"BA, BBA",business   social study
"Social Sci, Politics",China Youth University of Political Studies,Beijing,~70%,Yes,"Politics, law, communications",March/Sept,Day,No,"BA, MA",politic   law   communication
"Engineering, Tech",Shandong Normal University,Jinan,~65%,Yes,"Teacher training, sciences, business",March/Sept,Day,No,"BA, BSc",teacher training   science   business
"Engineering, Chem, Bus",Zhejiang SCI?TECH University,Hangzhou,~70%,Yes,"Engineering and sciences, business",March/Sept,Day,No,"BEng, BSc",engineering science   business
"Sci & Tech, Eng",Qingdao University of Science & Technology,Qingdao,~70%,Yes,Engineering and technical programs,March/Sept,Day,No,"BEng, MSc",engineering technical program
Comprehensive,Guangzhou University,Guangzhou,~65%,Yes,"Humanities, IT, business, sciences",March/Sept,Day,No,"BA, BSc, BBA",humanity     business   science
"Education, Sci",Hangzhou Normal University,Hangzhou,~65%,Yes,"Education, arts, sciences",March/Sept,Day,No,"BA, BSc",education   art   science
"Education, Sci",Shanghai Normal University,Shanghai,~65%,Yes,"Teacher training, humanities",March/Sept,Day,No,"BA, MA",teacher training   humanity
"Med, Health Sci",Wenzhou Medical University,Wenzhou,~70%,Yes,Medicine & health sciences (MBBS),March/Sept,Day,No,"MBBS, BSc",medicine    health science   mbb
"Humanities, Sci",Hebei North University,Hebei,~60%,Yes,"Arts, sciences, business",March/Sept,Day,No,"BA, BSc",arts   science   business
Comprehensive,Huaqiao University,Xiamen,~70%,Yes,"International programs, sciences",March/Sept,Day,Partial,"BA, BSc, MSc",international program   science
Agri Sci,Sichuan Agricultural University,Chengdu,~65%,Yes,"Agriculture, life sciences, tech",March/Sept,Day,No,"BSc, MSc",agriculture   life sciences   tech
Sci & Tech,Kunming University of Science & Technology,Kunming,~70%,Yes,Engineering & science programs,March/Sept,Day,No,"BEng, MSc",engineering    science program
"Life Sci, Med",Liaoning Medical University,Jinzhou,~70%,Yes,Medicine and health sciences,March/Sept,Day,No,MBBS,medicine health science
Sci & Eng,Northeast Forestry University,Harbin,~65%,Yes,"Environmental, forestry, biological sciences",March/Sept,Day,No,"BSc, MSc",environmental   forestry   biological science
Humanities,Guangdong University of Finance & Economics,Guangzhou,~65%,Yes,"Finance, business",March/Sept,Day,No,"BBA, BSc",finance   business
Sci & Eng,Shandong University of Technology,Shandong,~70%,Yes,Engineering and tech programs,March/Sept,Day,No,"BEng, MSc",engineering tech program
"IT, Business",Zhejiang University of Finance & Economics,Hangzhou,~70%,Yes,"Economics, business analytics",March/Sept,Day,No,"BSc, MSc",economics   business analytic
"Sci, Eng",Ocean University of China,Qingdao,~70%,Yes,"Marine science, biology",March/Sept,Day,No,"BSc, MSc",marine science   biology
"Eng, Tech",Wuhan University of Technology,Wuhan,~70%,Yes,"Engineering, materials science",March/Sept,Day,No,"BEng, MSc",engineering   material science
Sci & Eng,Jiangsu University of Science & Technology,Zhenjiang,~70%,Yes,Applied sciences and engineering,March/Sept,Day,No,"BEng, MSc",apply science engineering
Humanities,Ningbo University,Ningbo,~65%,Yes,Comprehensive arts and sciences,March/Sept,Day,No,"BA, BSc",comprehensive art science
Business,Zhejiang Gongshang University,Hangzhou,~70%,Yes,"Commerce, business, finance",March/Sept,Day,No,"BBA, MSc",commerce   business   finance
Sci & Eng,Xidian University,Xian,~75%,Yes,"Electronics, IT and engineering",March/Sept,Day,Yes,"BEng, MSc",electronic   engineering
IT & Eng,Nanjing University of Posts & Telecommunications,Nanjing,~72%,Yes,"Telecom, computing",March/Sept,Day,Yes,"BEng, MSc",telecom   computing
Sci & Eng,Southern University of Science and Technology (SUSTech),Shenzhen,~80%,Yes,Research?oriented STEM,March/Sept,Day,No,"BSc, MSc",research orient stem
Business,Capital University of Economics & Business,Beijing,~70%,Yes,"Business, finance",March/Sept,Day,No,"BBA, MSc",business   finance
Pharmacy,China Pharmaceutical University,Nanjing,~75%,Yes,Pharmacy and health sciences,March/Sept,Day,No,"BPharm, MSc",pharmacy health science
Sci & Eng,North China Electric Power University,Beijing,~70%,Yes,"Energy, electrical, engineering",March/Sept,Day,No,"BEng, MSc",energy   electrical   engineering
Humanities,Jiangxi Normal University,Jiangxi,~65%,Yes,"Education, sciences",March/Sept,Day,No,"BA, BSc",education   science
Sci & Eng,Sichuan University of Science & Engineering,Sichuan,~70%,Yes,Engineering and sciences,March/Sept,Day,No,"BEng, MSc",engineering science
Sci & Eng,Hunan University of Technology,Hunan,~70%,Yes,Tech and engineering,March/Sept,Day,No,"BEng, MSc",tech engineering
Management,Chongqing Technology and Business University,Chongqing,~65%,Yes,"Business, economics",March/Sept,Day,No,"BBA, MSc",business   economic
Tech & Eng,Hebei University of Technology,Tianjin,~70%,Yes,Engineering and tech,March/Sept,Day,No,"BEng, MSc",engineering tech
Life Sci,Guangxi Medical University,Nanning,~70%,Yes,"Medicine, health sciences",March/Sept,Day,No,MBBS,medicine   health science
Sci & Eng,Shenzhen University,Shenzhen,~70%,Yes,Comprehensive sciences and tech,March/Sept,Day,No,"BSc, BEng",comprehensive sciences tech
Sci & Eng,Shantou University,Shantou,~70%,Yes,"Liberal arts, sciences",March/Sept,Day,No,"BA, BSc",liberal art   science
Sci & Eng,Hainan University,Haikou,~65%,Yes,Comprehensive programs,March/Sept,Day,No,"BA, BSc",comprehensive program
Sci & Eng,Henan University,Henan,~65%,Yes,Arts and sciences,March/Sept,Day,Yes,"BA, BSc",art science
"Computing, Eng",University of Chinese Academy of Sciences,Beijing,~85%,Yes,Research U focusing on sciences/tech,Mar/Sept,Day,Partial,"BSc, MSc, PhD",research u focus science tech
"Civ Eng, Tech",Anhui Jianzhu University,Hefei,~65%,Yes,Architecture & engineering tech,Mar/Sept,Day,No,"BEng, MSc",architecture    engineering tech
Sci & Bus,Anhui University of Finance & Economics,Bengbu,~65%,Yes,"Economics, finance, management",Mar/Sept,Day,No,"BBA, BSc",economics   finance   management
"Agri, Sci",Agricultural University of Hebei,Baoding,~65%,Yes,"Agriculture, life sciences",Mar/Sept,Day,No,"BSc, MSc",agriculture   life science
"Health, Med",Anhui Medical University,Hefei,~70%,Yes,Medicine & health sciences,Mar/Sept,Day,No,"MBBS, MSc",medicine    health science
"Humanities, Sci",Anhui University,Hefei,~65%,Yes,"Arts, sciences, management",Mar/Sept,Day,No,"BA, BSc",arts   sciences   management
Tech,Nanjing Tech University,Nanjing,~70%,Yes,"Engineering, sciences",Mar/Sept,Day,No,"BEng, MSc",engineering   science
Sci & Eng,Nanjing University of Information Science & Technology,Nanjing,~70%,Yes,"IT, environmental sciences",Mar/Sept,Day,Partial,"BSc, MSc",  environmental science
Sci & Tech,Shandong University of Science & Technology,Shandong,~70%,Yes,Engineering & sciences,Mar/Sept,Day,No,"BEng, MSc",engineering    science
Tech,Hangzhou Dianzi University,Hangzhou,~70%,Yes,"Computing, electronics",Mar/Sept,Day,No,"BEng, MSc",computing   electronic
"Eng, Tech",Nanjing University of Science and Technology,Nanjing,~75%,Yes,"Engineering, materials",Mar/Sept,Day,No,"BEng, MSc",engineering   material
Sci & Eng,Beijing University of Chinese Medicine and Pharmacology,Beijing,~70%,Yes,Traditional medicine & pharmacy,Mar/Sept,Day,No,"BPharm, MSc",traditional medicine    pharmacy
Sci & Eng,Central University of Finance and Economics,Beijing,~75%,Yes,"Finance, economics",Mar/Sept,Day,Partial,"BBA, MSc",finance   economic
Tech,Beijing Forestry University,Beijing,~70%,Yes,Forestry & environmental tech,Mar/Sept,Day,No,"BSc, MSc",forestry    environmental tech
"Law, Social Sci",China University of Political Science and Law,Beijing,~75%,Yes,"Law, politics, social sciences",Mar/Sept,Day,Partial,"LLB, LLM",law   politic   social science
Sci & Eng,Beijing University of Chemical Technology,Beijing,~72%,Yes,Chemical engineering & sciences,Mar/Sept,Day,Partial,"BEng, MSc",chemical engineering    science
Humanities,Communication University of China,Beijing,~70%,Yes,"Media, communications, languages",Mar/Sept,Day,Partial,"BA, MA",medium   communication   language
Humanities,Shanghai International Studies University,Shanghai,~72%,Yes,Languages & international studies,Mar/Sept,Day,Partial,"BA, MA",language    international study
Humanities,Beijing Language and Culture University,Beijing,~70%,Yes,Chinese language & cultural studies,Mar/Sept,Day,Partial,"BA, MA",chinese language    cultural study
Humanities,Dalian University of Foreign Languages,Dalian,~65%,Yes,Language & international studies,Mar/Sept,Day,Partial,"BA, MA",language    international study
Arts,Central Academy of Fine Arts,Beijing,~70%,Yes,Fine arts & design,Mar/Sept,Day,No,"BFA, MFA",fine art    design
Arts,Beijing Film Academy,Beijing,~70%,Yes,"Film, media arts",Mar/Sept,Day,No,BFA,film   medium art
Arts,Shanghai Conservatory of Music,Shanghai,~70%,Yes,Music & performance arts,Mar/Sept,Day,No,"BM, MM",music    performance art
Arts,China Academy of Art,Hangzhou,~70%,Yes,Visual arts & design,Mar/Sept,Day,No,"BFA, MFA",visual art    design
Sci & Eng,Southwest Petroleum University,Sichuan,~70%,Yes,Petroleum engineering & geosciences,Mar/Sept,Day,No,"BEng, MSc",petroleum engineering    geoscience
Sci & Eng,North China Electric Power University,Beijing,~70%,Yes,Electrical & energy engineering,Mar/Sept,Day,No,"BEng, MSc",electrical    energy engineering
Sci & Eng,Zhejiang A & F University,Hangzhou,~70%,Yes,Agricultural sciences & forestry,Mar/Sept,Day,No,"BSc, MSc",agricultural science    forestry
Sci & Eng,Jiangsu University,Zhenjiang,~70%,Yes,Tech & applied sciences,Mar/Sept,Day,No,"BEng, MSc",tech    apply science
Sci & Eng,University of Science and Technology Beijing,Beijing,~75%,Yes,Sciences & engineering,Mar/Sept,Day,Yes,"BSc, MSc",sciences    engineering
Humanities,University of International Business and Economics,Beijing,~75%,Yes,Business & economics,Mar/Sept,Day,Partial,"BBA, MSc",business    economic
Sci & Eng,East China University of Science and Technology,Shanghai,~70%,Yes,Sciences & engineering,Mar/Sept,Day,No,"BEng, MSc",sciences    engineering
Sci & Eng,Hohai University Changzhou,Changzhou,~70%,Yes,Civil & environmental engineering,Mar/Sept,Day,No,BEng,civil    environmental engineering
Sci & Eng,Harbin Engineering University,Harbin,~70%,Yes,Nautical & marine engineering,Mar/Sept,Day,No,"BEng, MSc",nautical    marine engineering
Comprehensive,Jiangnan University,Wuxi,~70%,Yes,"Food science, engineering",Mar/Sept,Day,Yes,"BSc, MSc",food science   engineering
Multiple,Aba Teachers University,Shuimo,~60%,Yes,"Teacher education, humanities",Mar/Aug,Day,No,"BA, BEd",teacher education   humanity
Sci & Agri,Agricultural University of Hebei,Baoding,~65%,Yes,"Agriculture, agri?bio",Mar/Aug,Day,No,"BSc Agri, MSc",agriculture   agri bio
Sci & Eng,Anhui Sanlian University,Hefei,~60%,Yes,Applied sciences,Mar/Aug,Day,No,BSc Sci,apply science
Sci & Tech,Anhui University of Science & Technology,Huainan,~65%,Yes,"Engineering, sciences",Mar/Aug,Day,No,"BSc, MSc",engineering   science
Social Sci,Anhui Normal University,Wuhu,~60%,Yes,"Education, humanities",Mar/Aug,Day,No,"BA, BSc",education   humanity
Finance,Anhui University of Finance & Economics,Bengbu,~65%,Yes,Business & finance,Mar/Aug,Day,No,"BBA, MSc",business    finance
Sci & Tech,Bohai University,Qinhuangdao,~60%,Yes,Arts & sciences,Mar/Aug,Day,No,"BA, BSc",arts    science
Sci & Tech,Gansu Agricultural University,Lanzhou,~60%,Yes,Agriculture & life sciences,Mar/Aug,Day,No,BSc Agri,agriculture    life science
Sci & Tech,Hebei University of Science & Technology,Tangshan,~60%,Yes,Engineering & sciences,Mar/Aug,Day,No,"BEng, BSc",engineering    science
Sci & Eng,Hubei University,Wuhan,~60%,Yes,Sciences & technology,Mar/Aug,Day,No,"BA, BSc",science    technology
Sci & Eng,Hunan University of Technology,Hunan,~60%,Yes,Tech & engineering,Mar/Aug,Day,No,"BEng, MSc",tech    engineering
Humanities,Hunan Normal University,Hunan,~60%,Yes,Education & arts,Mar/Aug,Day,No,"BA, MA",education    art
Sci & Eng,Jiangsu University of Science & Technology,Zhenjiang,~65%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, MSc",apply science
Humanities,Ludong University,Yantai,~60%,Yes,"Sciences, arts",Mar/Aug,Day,No,"BA, BSc",science   art
Arts,North China University of Science and Technology,Tangshan,~60%,Yes,Sciences & technology,Mar/Aug,Day,No,"BSc, Eng",science    technology
Sci & Eng,Shandong University of Traditional Chinese Medicine,Jinan,~65%,Yes,Traditional medicine,Mar/Aug,Day,No,"BMed, MSc",traditional medicine
Sci & Eng,Southwest University of Finance & Economics,Chengdu,~70%,Yes,Finance & economics,Mar/Aug,Day,No,"BBA, MSc",finance    economic
Sci & Eng,University of International Relations,Beijing,~65%,Yes,Social sciences & policy,Mar/Aug,Day,No,"BA, MA",social science    policy
Sci & Eng,Changsha University,Changsha,~60%,Yes,Tech & engineering,Mar/Aug,Day,No,"BEng, BSc",tech    engineering
Sci & Eng,Shandong University of Finance and Economics,Jinan,~65%,Yes,Economics & finance,Mar/Aug,Day,No,"BBA, MSc",economics    finance
Sci & Eng,Ningbo University,Ningbo,~60%,Yes,"Arts, sciences",Mar/Aug,Day,Partial,"BA, BSc",arts   science
Sci & Eng,Chongqing University of Posts and Telecommunications,Chongqing,~65%,Yes,Telecom & IT,Mar/Aug,Day,No,"BEng, BSc",telecom   
Sci & Eng,Xian Petroleum University,Xian,~60%,Yes,Petroleum engineering,Mar/Aug,Day,No,"BEng, MSc",petroleum engineering
Sci & Eng,Beijing Institute of Graphic Communication,Beijing,~60%,Yes,Design & communications,Mar/Aug,Day,No,"BA, BSc",design    communication
Sci & Eng,Chongqing University of Technology,Chongqing,~60%,Yes,Applied tech & engineering,Mar/Aug,Day,No,"BEng, MSc",apply tech    engineering
Sci & Eng,Xinjiang Medical University,Xinjiang,~65%,Yes,Medicine & health,Mar/Aug,Day,No,"MBBS, MSc",medicine    health
Sci & Eng,Shandong Normal University,Shandong,~60%,Yes,Sciences & education,Mar/Aug,Day,No,"BA, BSc",science    education
Sci & Eng,Bohai University,Liaoning,~60%,Yes,Arts & science programs,Mar/Aug,Day,No,"BA, BSc",arts    science program
Sci & Eng,Gansu University of Chinese Medicine,Lanzhou,~60%,Yes,Traditional medicine programs,Mar/Aug,Day,No,BMed,traditional medicine program
Sci & Eng,Shaanxi Normal University,Xian,~60%,Yes,Education & sciences,Mar/Aug,Day,No,"BA, MA",education    science
Sci & Eng,New York University Shanghai,Shanghai,~85%,Yes,International liberal arts,Mar/Aug,Day,No,"BA, BSc",international liberal art
Sci & Eng,Southwest University,Chongqing,~60%,Yes,Humanities & sciences,Mar/Aug,Day,No,"BA, BSc",humanity    science
Sci & Eng,China University of Petroleum (East China),Qingdao,~70%,Yes,Petroleum & energy engineering,Mar/Aug,Day,No,"BEng, MSc",petroleum    energy engineering
Multidisciplinary,Beijing Polytechnic University,Beijing,~65%,Yes,"Engineering, applied tech",Mar/Aug,Day,No,"BEng, BSc",engineering   apply tech
Sci & Eng,Beijing Union University,Beijing,~60%,Yes,Sciences & business,Mar/Aug,Day,No,"BA, BSc",science    business
Sci & Eng,Beijing University of Chinese Medicine,Beijing,~70%,Yes,Traditional medicine & pharmacy,Mar/Aug,Day,No,"BMed, BPharm",traditional medicine    pharmacy
Sci & Eng,Beijing University of Technology,Beijing,~70%,Yes,Engineering & tech,Mar/Aug,Day,No,"BEng, MSc",engineering    tech
Humanities,Beijing Foreign Studies University,Beijing,~70%,Yes,Languages & social sciences,Mar/Aug,Day,Partial,"BA, MA",language    social science
Sci & Tech,Beijing University of Posts & Telecommunications,Beijing,~70%,Yes,Telecom & computing,Mar/Aug,Day,Partial,"BEng, MSc",telecom    computing
Sci & Eng,Beijing Institute of Graphic Communication,Beijing,~60%,Yes,Design & communication,Mar/Aug,Day,No,"BA, BSc",design    communication
Sci & Eng,Beijing Jiaotong University,Beijing,~72%,Yes,Transportation & IT,Mar/Aug,Day,Partial,"BEng, MSc",transportation   
Humanities,Beijing Language & Culture University,Beijing,~70%,Yes,Languages & culture,Mar/Aug,Day,Partial,"BA, MA",language    culture
Humanities,Communication University of China,Beijing,~70%,Yes,"Media, communications",Mar/Aug,Day,Partial,"BA, MA",medium   communication
Sci & Eng,Changan University,Xian,~70%,Yes,Civil & transport engineering,Mar/Aug,Day,Yes,"BEng, MSc",civil    transport engineering
Sci & Eng,Chongqing University of Posts & Telecom,Chongqing,~65%,Yes,Telecom & computing,Mar/Aug,Day,No,"BEng, BSc",telecom    computing
Sci & Eng,East China University of Science & Technology,Shanghai,~70%,Yes,Sciences & tech,Mar/Aug,Day,No,"BEng, MSc",sciences    tech
Sci & Eng,Fujian Normal University,Fuzhou,~65%,Yes,Education & sciences,Mar/Aug,Day,No,"BA, BSc",education    science
Sci & Eng,Guangxi University of Science & Technology,Liuzhou,~65%,Yes,Applied tech programs,Mar/Aug,Day,No,"BSc, MSc",apply tech program
Sci & Eng,Hubei University of Technology,Wuhan,~65%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, BEng",apply science
Sci & Eng,Hunan University of Science & Technology,Xiangtan,~65%,Yes,Tech & science programs,Mar/Aug,Day,No,"BSc, MSc",tech    science program
Sci & Eng,Inner Mongolia University,Hohhot,~60%,Yes,Comprehensive arts & sciences,Mar/Aug,Day,No,"BA, BSc",comprehensive art    science
Sci & Eng,Jilin Agricultural University,Changchun,~60%,Yes,Agriculture & bio?sciences,Mar/Aug,Day,No,BSc Agri,agriculture    bio science
Sci & Eng,Lanzhou University of Technology,Lanzhou,~60%,Yes,Engineering tech,Mar/Aug,Day,No,"BEng, MSc",engineering tech
Sci & Eng,Liaoning Technical University,Fuxin,~60%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, Eng",apply science
Sci & Eng,Neijiang Normal University,Neijiang,~60%,Yes,Teacher training & sciences,Mar/Aug,Day,No,"BA, BEd",teacher training    science
Sci & Eng,Shandong Jianzhu University,Jinan,~60%,Yes,Architecture & tech,Mar/Aug,Day,No,"BEng, MSc",architecture    tech
Sci & Eng,Shanghai University of Electric Power,Shanghai,~60%,Yes,Electrical & power engineering,Mar/Aug,Day,No,BEng,electrical    power engineering
Sci & Eng,Sichuan Normal University,Chengdu,~60%,Yes,"Education, arts & sciences",Mar/Aug,Day,No,"BA, BSc",education   art    science
Sci & Eng,Tianjin University of Technology,Tianjin,~65%,Yes,Applied tech programs,Mar/Aug,Day,No,"BEng, MSc",apply tech program
Sci & Eng,Tibet University,Lhasa,~60%,Yes,"Arts, sciences, Tibetan studies",Mar/Aug,Day,No,"BA, BSc",arts   sciences   tibetan study
Sci & Eng,Xinjiang University of Finance & Economics,Urumqi,~60%,Yes,Finance & business,Mar/Aug,Day,No,"BBA, MSc",finance    business
Sci & Eng,Yunnan Normal University,Kunming,~60%,Yes,Teacher training & sciences,Mar/Aug,Day,No,"BA, BSc",teacher training    science
Sci & Eng,Zunyi Medical University,Zunyi,~65%,Yes,Medicine & health sciences,Mar/Aug,Day,No,"MBBS, BSc",medicine    health science
Sci & Eng,Shenyang Aerospace University,Shenyang,~65%,Yes,Aerospace engineering,Mar/Aug,Day,No,"BEng, MSc",aerospace engineering
Sci & Eng,Zhongnan University of Economics & Law,Wuhan,~70%,Yes,"Business, law & economics",Mar/Aug,Day,No,"BBA, LLB",business   law    economic
Multi,Aichi Bunkyo University,Komaki,Medium,Yes,Comprehensive private university,Apr/Sep,Day,Partial,"BA, BSc",comprehensive private university
Multi,Aichi Gakuin University,Nagoya,Medium,Yes,"Arts, business, law",Apr/Sep,Day,Partial,"BA, BBA",arts   business   law
Multi,Aichi Institute of Technology,Toyota,Medium,Yes,Tech & engineering,Apr/Sep,Day,No,"Eng, Sci",tech    engineering
Health,Aichi Medical University,Nagakute,Medium,Yes,Medical sciences & health,Apr/Sep,Day,No,"MBBS, BSc",medical science    health
Multi,Aichi Sangyo University,Okazaki,Medium,Yes,Business & sciences,Apr/Sep,Day,Partial,"BBA, BSc",business    science
Multi,Aichi Shukutoku University,Nagoya,Medium,Yes,Humanities & business,Apr/Sep,Day,Partial,"BA, BBA",humanity    business
Multi,Aichi Toho University,Nagoya,Medium,Yes,"Health, sciences",Apr/Sep,Day,Partial,"BSc, BA",health   science
Arts,Aichi University of the Arts,Nagakute,Medium,Yes,Creative arts & design,Apr/Sep,Day,No,"BFA, MFA",creative art    design
Education,Aichi University of Education,Kariya,Medium,Yes,Teacher training,Apr/Sep,Day,No,BEd,teacher training
Multi,Akita International University,Akita,Medium,Yes,Liberal arts & international studies,Apr/Sep,Day,Partial,"BA, MA",liberal art    international study
Sci,Akita University of Health & Welfare,Akita,Medium,Yes,Health & welfare sciences,Apr/Sep,Day,Partial,"BSc, MA",health    welfare science
Sci,Asahikawa Medical College,Asahikawa,Medium,Yes,Medical sciences,Apr/Sep,Day,No,"MBBS, BSc",medical science
Sci,Asahikawa University,Asahikawa,Medium,Yes,Sciences & social sciences,Apr/Sep,Day,Partial,"BA, BSc",sciences    social science
Multi,Azabu University,Sagamihara,Medium,Yes,Veterinary & biological sciences,Apr/Sep,Day,No,"BSc, DVM",veterinary    biological science
Sci,Chiba Prefectural University of Health Sciences,Chiba,Medium,Yes,Health sciences,Apr/Sep,Day,No,BSc,health science
Sci,Chiba University of Commerce,Chiba,Medium,Yes,Business & management,Apr/Sep,Day,Partial,BBA,business    management
Multi,Den-en Chofu University,Tokyo,Medium,Yes,Humanities & social sciences,Apr/Sep,Day,Partial,"BA, BSc",humanity    social science
Sci,Ferris University,Yokohama,Medium,Yes,Arts & education,Apr/Sep,Day,Partial,BA,arts    education
Tech,Institute of Information Security,Tokyo,High,Yes,"IT security, computing",Apr/Sep,Day,Partial,"BSc, MSc",security   computing
Multi,Japan Advanced Institute of Science & Technology,Nomi,High,Yes,Science & technology research,Apr/Oct,Day,No,"Eng, Sci",science    technology research
Multi,Japan International University,Ibaraki,Medium,Yes,Health & business programs,Apr/Sep,Day,Partial,"BSc, BA",health    business program
Multi,Japan Womens University,Tokyo,Medium,Yes,Womens liberal arts,Apr/Sep,Day,Partial,"BA, MA",woman s liberal art
Multi,Japan University of Health Sciences,Saitama,Medium,Yes,Health & medical programs,Apr/Sep,Day,Partial,BSc,health    medical program
Sci,Jogakuin University,Hiroshima,Medium,Yes,Humanities & sciences,Apr/Sep,Day,Partial,BA,humanity    science
Multi,Josai University,Saitama,Medium,Yes,"Business, arts",Apr/Sep,Day,Partial,"BBA, BA",business   art
Tech,Kanagawa Institute of Technology,Yokohama,Medium,Yes,Engineering & technology,Apr/Sep,Day,Partial,"BEng, BSc",engineering    technology
Multi,Kanagawa University,Yokohama,Medium,Yes,Business & humanities,Apr/Sep,Day,Partial,"BA, BBA",business    humanity
Multi,Kanazawa Medical University,Ishikawa,Medium,Yes,Medical & health sciences,Apr/Sep,Day,No,MBBS,medical    health science
Arts,Kanazawa College of Art,Ishikawa,Medium,Yes,Creative arts,Apr/Sep,Day,No,BFA,creative art
Sci,Kinjo University,Kanagawa,Medium,Yes,Liberal arts & sciences,Apr/Sep,Day,Partial,BA,liberal art    science
Humanities,Komatsu University,Ishikawa,Medium,Yes,Social sciences,Apr/Sep,Day,Partial,BA,social science
Tech,Kyoei University,Saitama,Medium,Yes,Technology & business,Apr/Sep,Day,Partial,"BSc, BBA",technology    business
Tech,Kyoei Institute of Technology,Saitama,Medium,Yes,Applied tech,Apr/Sep,Day,Partial,BEng,apply tech
Sci,Kyoei Nutrition University,Saitama,Medium,Yes,Nutrition & health science,Apr/Sep,Day,No,BSc,nutrition    health science
Multi,Meisei University,Tokyo,Medium,Yes,Multi?disciplinary,Apr/Sep,Day,Partial,"BA, BSc",multi disciplinary
Multi,Mejiro University,Tokyo,Medium,Yes,"Business, education",Apr/Sep,Day,Partial,BA,business   education
Sci,Nippon Sport Science University,Tokyo,Medium,Yes,Sports science & health,Apr/Sep,Day,No,BSc,sport science    health
Sci,Ryutsu Keizai University,Ibaraki,Medium,Yes,"Business, economics",Apr/Sep,Day,Partial,BBA,business   economic
Sci,Sakushin Gakuin University,Tochigi,Medium,Yes,Humanities & business,Apr/Sep,Day,Partial,BA,humanity    business
Sci,Shonan Institute of Technology,Kanagawa,Medium,Yes,Engineering & tech,Apr/Sep,Day,No,BEng,engineering    tech
