Engineering,Voronezh Institute of High Technologies,Voronezh,60,Yes,Engineering & applied tech.,"Jan, July",Morning,Some,"Eng, Tech, CS"
General,Yaroslavl State Agricultural Academy,Yaroslavl,60,Yes,"Agronomy, food sciences.","Jan, July",Morning,Yes,"Agronomy, Food Sci"
Engineering,Yaroslavl State Medical Academy,Yaroslavl,70,Yes,Medicine & allied health sciences.,"Jan, July",Morning,Some,"Medicine, Pharmacy"
Engineering,Astrakhan State Institute of Fisheries,Astrakhan,60,Yes,Fisheries science & aquatic tech.,"Jan, July",Morning,Some,"Aquatic Sci, Tech"
General,Belgorod State University of Engineering Technology,Belgorod,60,Yes,Industrial technology & applied sciences.,"Jan, July",Morning,Some,"Tech, Eng"
Engineering,Bryansk State Academy of Agriculture,Bryansk,60,Yes,Agricultural engineering & sciences.,"Jan, July",Morning,Yes,"Agronomy, Agro Eng"
General,Chita State University,Chita,60,Yes,Multidisciplinary programs.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Dagestan State Medical University,Makhachkala,70,Yes,Medicine & allied programs.,"Jan, July",Morning,Some,"Medicine, Pharma"
General,Naberezhnye Chelny State Pedagogical University,Naberezhnye Chelny,60,Yes,"Education, languages, humanities.","Jan, July",Morning,Yes,"Edu, Lang, Soc Sci"
General,Kursk State Agroindustrial University,Kursk,60,Yes,Agriculture & food sciences.,"Jan, July",Morning,Yes,"Agri Sci, Food Tech"
Engineering,Lipetsk State Agricultural Academy,Lipetsk,60,Yes,Agrarian tech & applied sciences.,"Jan, July",Morning,Yes,"Agronomy, Food Sci"
General,Moscow State University of Culture and Arts,Moscow,60,Some,"Culture, arts, media.","Jan, July",Morning,Yes,"Arts, Culture Mgmt"
Engineering,Moscow Automobile and Road Construction State Technical University (MADI),Moscow,70,Yes,"Transport engineering, road construction tech.","Jan, July",Morning,Some,"Transp Eng, CS"
General,Moscow State University of Psychology & Education,Moscow,65,Some,"Psychology, education, social sciences.","Jan, July",Morning,Yes,"Psych, Edu, Soc Sci"
General,Moscow State University of Instrument Engineering and Computer Science,Moscow,70,Yes,IT & engineering programs.,"Jan, July",Morning,Some,"CS, Eng"
Engineering,Moscow State University of Food Production,Moscow,60,Yes,"Food technology, supply chain tech.","Jan, July",Morning,Some,"Food Sci, Tech"
General,Moscow State Technological University ï¿½STANKINï¿½,Moscow,70,Yes,"Engineering, management, IT.","Jan, July",Morning,Yes,"Eng, IT, Mgmt"
Engineering,Moscow State University of Design and Technology,Moscow,65,Yes,"Design, textiles, applied tech.","Jan, July",Morning,Some,"Design, Tech"
General,Moscow State Art Institute,Moscow,60,Some,"Fine arts, design, culture studies.","Jan, July",Morning,Yes,"Arts, Design"
Engineering,Moscow State Academy of Veterinary Medicine & Biotechnology,Moscow,70,Yes,"Veterinary science, biotech.","Jan, July",Morning,Some,"Vet Sci, Biotech"
General,National University of Science and Technology MISiS (Tech),Moscow,75,Yes,"Materials, engineering, IT, sciences.","Jan, July",Morning,Yes,"Eng, CS, Materials"
Engineering,Penza State Technological University of Food Industry,Penza,60,Yes,Food engineering & tech.,"Jan, July",Morning,Some,"Food Tech, Eng"
General,Perm State Medical Academy,Perm,70,Yes,Medicine & allied health.,"Jan, July",Morning,Some,"Medicine, Pharmacy"
Engineering,Pyatigorsk Medical and Pharmaceutical Institute,Pyatigorsk,70,Yes,Medicine & pharmacy?focused programs.,"Jan, July",Morning,Some,"Med, Pharma"
General,Rostov State Medical University,Rostov?on?Don,75,Yes,Broad medical education.,"Jan, July",Morning,Some,"Med, Pharm"
Engineering,Russian State University of Oil and Gas (Gubkin),Moscow,75,Yes,"Energy, oil & gas, engineering.","Jan, July",Morning,Some,"Petro Eng, Energy"
General,Saint Petersburg State University of Economics,Saint Petersburg,70,Some,"Economics, management, finance.","Jan, July",Morning,Yes,"Econ, Mgmt, Finance"
Engineering,Saint Petersburg State University of Refrigeration and Food Engineering,Saint Petersburg,60,Yes,Food engineering & applied tech.,"Jan, July",Morning,Some,Food Eng
General,Saint Petersburg State University of Culture,Saint Petersburg,60,Some,"Culture, arts, humanities.","Jan, July",Morning,Yes,"Culture, Arts"
Engineering,Saratov State Medical University,Saratov,70,Yes,Medical & health sciences.,"Jan, July",Morning,Some,"Med, Pharmacy"
General,South?West State University,Kursk,60,Yes,Multidisciplinary covering sciences & management.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Tambov State Technical University,Tambov,60,Yes,Engineering & tech programs.,"Jan, July",Morning,Some,"Eng, CS"
Engineering,Ufa State Oil Technical University,Ufa,70,Yes,"Petroleum engineering, energy tech.","Jan, July",Morning,Some,"Petro Eng, Tech"
General,Ulyanovsk State Technical University,Ulyanovsk,65,Yes,Tech & engineering.,"Jan, July",Morning,Some,"Eng, CS"
Engineering,Yakutsk State University of Economics and Law,Yakutsk,60,Yes,Econ & law programs.,"Jan, July",Morning,Yes,"Econ, Law"
Department,University,City/Cities,Marks required,Labs Available,Course Description,Admission dates,shifts,online,Course title
"Computing & IT, Engineering, Business, Sciences",Tsinghua University,Beijing,~85% / Gaokao strong,Yes,"Top-tier research and technical programs across engineering, computing, life sciences, business",Marchï¿½June,Day,No,"BEng, MSc CS, MBA, PhD"
"Computing & IT, Engineering, Business",Peking University,Beijing,~85% / strong,Yes,"Comprehensive research university ï¿½ sciences, computing, economics",Marchï¿½June,Day,No,"BSc CS, MSc, MA, PhD"
"Engineering, IT, Business",Shanghai Jiao Tong University,Shanghai,~80% / competitive,Yes,Engineering and business programs with research focus,Aprilï¿½June,Day,Partial,"BEng, MSc, MBA, PhD"
"Engineering, IT",Zhejiang University,Hangzhou,~80%,Yes,Broadly ranked with major engineering and science faculties,Aprilï¿½June,Day,Partial,"BSc, MSc, PhD"
Computing & Engineering,Harbin Institute of Technology,Harbin,~80%,Yes,"Strong in engineering, robotics, aerospace",Marchï¿½May,Day,Partial,"BEng, MSc, PhD"
"Engineering, Life Sci",University of Science & Technology of China,Hefei,~85%,Yes,Research-focused science & tech programs,Marchï¿½May,Day,No,"BSc, MSc, PhD"
"Business, Social Sci",Fudan University,Shanghai,~80%,Yes,"Research & liberal arts, management strengths",Marchï¿½June,Day,Partial,"BA, BSc, MBA, PhD"
"Computing & IT, Eng",Beijing Institute of Technology,Beijing,~78%,Yes,Engineering-oriented with computing programs,Aprilï¿½June,Day,Partial,"BEng, MSc, PhD"
"IT, Eng, Business",Nanjing University,Nanjing,~80%,Yes,"Strong in sciences, social sciences, computing",Marchï¿½June,Day,Partial,"BA, BSc, MSc, PhD"
"Eng, IT",Xiï¿½an Jiaotong University,Xiï¿½an,~80%,Yes,Key engineering & IT programs,Aprilï¿½June,Day,Partial,"BEng, MSc, PhD"
"Life Sci, Health Sci",Sun Yat?sen University,Guangzhou,~75%,Yes,"Biomedical, life sciences, health fields",Marchï¿½May,Day,Partial,"BSc Bio, MSc, MD Programs"
"Engg, IT",Beijing University of Aeronautics & Astronautics,Beijing,~80%,Yes,"Aero & mechanical engineering, computing",Aprilï¿½June,Day,Partial,"BEng, MSc, PhD"
"Eng, IT",Beijing University of Chemical Technology,Beijing,~75%,Yes,Chemical and material engineering,Aprilï¿½June,Day,Partial,"BEng, MSc, PhD"
"Eng, Business",Tongji University,Shanghai,~78%,Yes,"Engineering, architecture, business",Aprilï¿½June,Day,Partial,"BEng, MSc, MBA"
"IT, Eng",Huazhong University of Science & Technology,Wuhan,~78%,Yes,Engineering & computing strengths,Aprilï¿½June,Day,Partial,"BEng, MSc, PhD"
"Eng, IT, Management",South China University of Technology,Guangzhou,~75%,Yes,Engineering and business programs,Marchï¿½May,Day,Partial,"BEng, MSc, MBA"
"IT, Business",Nankai University,Tianjin,~78%,Yes,Strong management and science faculties,Marchï¿½June,Day,Partial,"BSc, BA, MBA"
"IT, Eng",Xiï¿½an University of Technology,Xiï¿½an,~70%,Yes,Applied engineering and technical programs,Aprilï¿½June,Day,Partial,"BEng, MSc"
"Social Sci, Business",Sichuan University,Chengdu,~75%,Yes,Wide program variety including social sciences,Aprilï¿½June,Day,Partial,"BA, BSc, MSc, PhD"
"IT, Eng, Business",Tianjin University,Tianjin,~78%,Yes,Chinaï¿½s oldest university with engineering focus,Marchï¿½May,Day,Partial,"BEng, MSc, PhD"
"IT, Eng, Health Sci",Wuhan University,Wuhan,~75%,Yes,Well?rounded research university,Marchï¿½May,Day,Partial,"BA, BSc, MSc"
"Life Sci, Health Sci",China Agricultural University,Beijing,~70%,Yes,"Life sciences, agriculture, biotech",Aprilï¿½June,Day,Partial,"BSc Agri, MSc"
"IT, Eng",Beijing Jiaotong University,Beijing,~75%,Yes,Transport tech and engineering,Aprilï¿½June,Day,Partial,"BEng, MSc"
"IT, Eng",Chongqing University,Chongqing,~75%,Yes,"Tech, computing, engineering",Aprilï¿½June,Day,Partial,"BEng, MSc"
"IT, Eng",East China Normal University,Shanghai,~75%,Yes,Sciences and education,Marchï¿½June,Day,Partial,"BA, BSc, MSc"
"Business, Social Sci",Renmin University of China,Beijing,~80%,Yes,Top social sciences and management,Marchï¿½June,Day,Partial,"BA, BSc, MBA"
"IT, Eng",Dalian University of Technology,Dalian,~75%,Yes,Engineering technical programs,Aprilï¿½June,Day,Partial,"BEng, MSc"
"IT, Eng",Jilin University,Changchun,~75%,Yes,Comprehensive science and tech,Aprilï¿½June,Day,Partial,"BA, BSc, MSc"
"Life Sci, Health Sci",Zhejiang University of Medicine,Hangzhou,~70%,Yes,"Medicine, health sciences",Marchï¿½June,Day,Partial,"MBBS, MSc"
"Eng, IT",Shandong University,Jinan,~75%,Yes,Broad research and tech programs,Marchï¿½June,Day,Partial,"BA, BSc, MSc"
"IT, Eng",Beijing University of Technology,Beijing,~72%,Yes,Applied engineering programs,Aprilï¿½June,Day,Partial,"BEng, MSc"
"Social Sci, Business",Shanghai University,Shanghai,~70%,Yes,Wide suite including management,Marchï¿½June,Day,Partial,"BA, BSc, MBA"
"IT, Eng",Zhengzhou University,Zhengzhou,~72%,Yes,Large comprehensive university,Aprilï¿½June,Day,Partial,"BA, BSc, MSc"
"Eng, IT",Xiamen University,Xiamen,~75%,Yes,Strong engineering and business,Marchï¿½June,Day,Partial,"BA, BSc, MSc"
"IT, Eng, Business",Southeast University,Nanjing,~75%,Yes,"Engineering, business programs",Aprilï¿½June,Day,Partial,"BEng, MSc"
"IT, Eng",Northwestern Polytechnical University,Xiï¿½an,~80%,Yes,Aerospace and engineering power,Marchï¿½May,Day,Partial,"BEng, MSc"
"IT, Eng",Hunan University,Changsha,~75%,Yes,Engineering and science programs,Aprilï¿½June,Day,Partial,"BEng, MSc"
"Business, Social Sci",Beijing Foreign Studies University,Beijing,~80%,Yes,"Languages, social sciences, management",Marchï¿½June,Day,Partial,"BA, MSc"
"Life Sci, Health Sci",Harbin Medical University,Harbin,~75%,Yes,Medical and health faculty,Marchï¿½June,Day,No,"MBBS, MSc"
"IT, Eng",University of Electronic Science & Technology of China,Chengdu,~78%,Yes,Electronic and computing focused,Aprilï¿½June,Day,Partial,"BEng, MSc"
"Business, Social Sci",Southwestern University of Finance and Economics,Chengdu,~78%,Yes,"Finance, economics, business",Marchï¿½June,Day,Partial,"BBA, MSc"
"Eng, IT",Beijing University of Posts & Telecommunications,Beijing,~78%,Yes,Telecom and computing,Marchï¿½June,Day,Partial,"BEng, MSc"
"Life Sci, Health Sci",Tongji Medical College,Wuhan,~75%,Yes,Medical & health programs,Marchï¿½June,Day,No,"MBBS, MSc"
"IT, Business",University of Shanghai for Science & Technology,Shanghai,~72%,Yes,Engineering and business,Aprilï¿½June,Day,Partial,"BEng, BBA, MSc"
"IT, Eng",Tianjin Medical University,Tianjin,~75%,Yes,Medical and biomedical programs,Marchï¿½June,Day,No,"MBBS, MSc"
"Business, Social Sci",Beijing Sport University,Beijing,~70%,Yes,"Sports science, management",Marchï¿½June,Day,Partial,"BSc, MSc"
"Eng, IT",Guangdong University of Technology,Guangzhou,~70%,Yes,Technology and engineering,Aprilï¿½June,Day,Partial,"BEng, MSc"
"IT, Eng",Lanzhou University,Lanzhou,~70%,Yes,Comprehensive science & tech,Aprilï¿½June,Day,Partial,"BA, BSc, MSc"
"IT, Business, Social Sci",Beijing Information Science & Technology University,Beijing,~70%,Yes,"Applied science, IT, management, business programs",March/Sept,Day,No,"BEng, BSc, BBA"
"Engineering, Science",China University of Mining & Technology (Beijing),Beijing,~70%,Yes,"Mining, geosciences, engineering tech",March/Sept,Day,No,"BEng Mining, MSc, PhD"
"Engineering, Earth Sci",China University of Petroleum (Beijing),Beijing,~72%,Yes,"Petroleum engineering, energy studies",March/Sept,Day,No,"BEng, MSc, PhD"
"Earth Sci, Eng",China University of Geosciences (Beijing),Beijing,~70%,Yes,"Geoscience, environmental programs",March/Sept,Day,No,"BSc, MSc"
Humanities & Social Sci,Beijing Union University,Beijing,~65%,Yes,"Social sciences, management, education",March/Sept,Day,No,"BA, BSc"
"Social Sci, Humanities",Beijing City University,Beijing,~65%,Yes,"Business, social studies",March/Sept,Day,No,"BA, BBA"
"Social Sci, Politics",China Youth University of Political Studies,Beijing,~70%,Yes,"Politics, law, communications",March/Sept,Day,No,"BA, MA"
"Engineering, Tech",Shandong Normal University,Jinan,~65%,Yes,"Teacher training, sciences, business",March/Sept,Day,No,"BA, BSc"
"Engineering, Chem, Bus",Zhejiang SCI?TECH University,Hangzhou,~70%,Yes,"Engineering and sciences, business",March/Sept,Day,No,"BEng, BSc"
"Sci & Tech, Eng",Qingdao University of Science & Technology,Qingdao,~70%,Yes,Engineering and technical programs,March/Sept,Day,No,"BEng, MSc"
Comprehensive,Guangzhou University,Guangzhou,~65%,Yes,"Humanities, IT, business, sciences",March/Sept,Day,No,"BA, BSc, BBA"
"Education, Sci",Hangzhou Normal University,Hangzhou,~65%,Yes,"Education, arts, sciences",March/Sept,Day,No,"BA, BSc"
"Education, Sci",Shanghai Normal University,Shanghai,~65%,Yes,"Teacher training, humanities",March/Sept,Day,No,"BA, MA"
"Med, Health Sci",Wenzhou Medical University,Wenzhou,~70%,Yes,Medicine & health sciences (MBBS),March/Sept,Day,No,"MBBS, BSc"
"Humanities, Sci",Hebei North University,Hebei,~60%,Yes,"Arts, sciences, business",March/Sept,Day,No,"BA, BSc"
Comprehensive,Huaqiao University,Xiamen,~70%,Yes,"International programs, sciences",March/Sept,Day,Partial,"BA, BSc, MSc"
Agri Sci,Sichuan Agricultural University,Chengdu,~65%,Yes,"Agriculture, life sciences, tech",March/Sept,Day,No,"BSc, MSc"
Sci & Tech,Kunming University of Science & Technology,Kunming,~70%,Yes,Engineering & science programs,March/Sept,Day,No,"BEng, MSc"
"Life Sci, Med",Liaoning Medical University,Jinzhou,~70%,Yes,Medicine and health sciences,March/Sept,Day,No,MBBS
Sci & Eng,Northeast Forestry University,Harbin,~65%,Yes,"Environmental, forestry, biological sciences",March/Sept,Day,No,"BSc, MSc"
Humanities,Guangdong University of Finance & Economics,Guangzhou,~65%,Yes,"Finance, business",March/Sept,Day,No,"BBA, BSc"
Sci & Eng,Shandong University of Technology,Shandong,~70%,Yes,Engineering and tech programs,March/Sept,Day,No,"BEng, MSc"
"IT, Business",Zhejiang University of Finance & Economics,Hangzhou,~70%,Yes,"Economics, business analytics",March/Sept,Day,No,"BSc, MSc"
"Sci, Eng",Ocean University of China,Qingdao,~70%,Yes,"Marine science, biology",March/Sept,Day,No,"BSc, MSc"
"Eng, Tech",Wuhan University of Technology,Wuhan,~70%,Yes,"Engineering, materials science",March/Sept,Day,No,"BEng, MSc"
Sci & Eng,Jiangsu University of Science & Technology,Zhenjiang,~70%,Yes,Applied sciences and engineering,March/Sept,Day,No,"BEng, MSc"
Humanities,Ningbo University,Ningbo,~65%,Yes,Comprehensive arts and sciences,March/Sept,Day,No,"BA, BSc"
Business,Zhejiang Gongshang University,Hangzhou,~70%,Yes,"Commerce, business, finance",March/Sept,Day,No,"BBA, MSc"
Sci & Eng,Xidian University,Xiï¿½an,~75%,Yes,"Electronics, IT and engineering",March/Sept,Day,Yes,"BEng, MSc"
IT & Eng,Nanjing University of Posts & Telecommunications,Nanjing,~72%,Yes,"Telecom, computing",March/Sept,Day,Yes,"BEng, MSc"
Sci & Eng,Southern University of Science and Technology (SUSTech),Shenzhen,~80%,Yes,Research?oriented STEM,March/Sept,Day,No,"BSc, MSc"
Business,Capital University of Economics & Business,Beijing,~70%,Yes,"Business, finance",March/Sept,Day,No,"BBA, MSc"
Pharmacy,China Pharmaceutical University,Nanjing,~75%,Yes,Pharmacy and health sciences,March/Sept,Day,No,"BPharm, MSc"
Sci & Eng,North China Electric Power University,Beijing,~70%,Yes,"Energy, electrical, engineering",March/Sept,Day,No,"BEng, MSc"
Humanities,Jiangxi Normal University,Jiangxi,~65%,Yes,"Education, sciences",March/Sept,Day,No,"BA, BSc"
Sci & Eng,Sichuan University of Science & Engineering,Sichuan,~70%,Yes,Engineering and sciences,March/Sept,Day,No,"BEng, MSc"
Sci & Eng,Hunan University of Technology,Hunan,~70%,Yes,Tech and engineering,March/Sept,Day,No,"BEng, MSc"
Management,Chongqing Technology and Business University,Chongqing,~65%,Yes,"Business, economics",March/Sept,Day,No,"BBA, MSc"
Tech & Eng,Hebei University of Technology,Tianjin,~70%,Yes,Engineering and tech,March/Sept,Day,No,"BEng, MSc"
Life Sci,Guangxi Medical University,Nanning,~70%,Yes,"Medicine, health sciences",March/Sept,Day,No,MBBS
Sci & Eng,Shenzhen University,Shenzhen,~70%,Yes,Comprehensive sciences and tech,March/Sept,Day,No,"BSc, BEng"
Sci & Eng,Shantou University,Shantou,~70%,Yes,"Liberal arts, sciences",March/Sept,Day,No,"BA, BSc"
Sci & Eng,Hainan University,Haikou,~65%,Yes,Comprehensive programs,March/Sept,Day,No,"BA, BSc"
Sci & Eng,Henan University,Henan,~65%,Yes,Arts and sciences,March/Sept,Day,Yes,"BA, BSc"
"Computing, Eng",University of Chinese Academy of Sciences,Beijing,~85%,Yes,Research U focusing on sciences/tech,Mar/Sept,Day,Partial,"BSc, MSc, PhD"
"Civ Eng, Tech",Anhui Jianzhu University,Hefei,~65%,Yes,Architecture & engineering tech,Mar/Sept,Day,No,"BEng, MSc"
Sci & Bus,Anhui University of Finance & Economics,Bengbu,~65%,Yes,"Economics, finance, management",Mar/Sept,Day,No,"BBA, BSc"
"Agri, Sci",Agricultural University of Hebei,Baoding,~65%,Yes,"Agriculture, life sciences",Mar/Sept,Day,No,"BSc, MSc"
"Health, Med",Anhui Medical University,Hefei,~70%,Yes,Medicine & health sciences,Mar/Sept,Day,No,"MBBS, MSc"
"Humanities, Sci",Anhui University,Hefei,~65%,Yes,"Arts, sciences, management",Mar/Sept,Day,No,"BA, BSc"
Tech,Nanjing Tech University,Nanjing,~70%,Yes,"Engineering, sciences",Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,Nanjing University of Information Science & Technology,Nanjing,~70%,Yes,"IT, environmental sciences",Mar/Sept,Day,Partial,"BSc, MSc"
Sci & Tech,Shandong University of Science & Technology,Shandong,~70%,Yes,Engineering & sciences,Mar/Sept,Day,No,"BEng, MSc"
Tech,Hangzhou Dianzi University,Hangzhou,~70%,Yes,"Computing, electronics",Mar/Sept,Day,No,"BEng, MSc"
"Eng, Tech",Nanjing University of Science and Technology,Nanjing,~75%,Yes,"Engineering, materials",Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,Beijing University of Chinese Medicine and Pharmacology,Beijing,~70%,Yes,Traditional medicine & pharmacy,Mar/Sept,Day,No,"BPharm, MSc"
Sci & Eng,Central University of Finance and Economics,Beijing,~75%,Yes,"Finance, economics",Mar/Sept,Day,Partial,"BBA, MSc"
Tech,Beijing Forestry University,Beijing,~70%,Yes,Forestry & environmental tech,Mar/Sept,Day,No,"BSc, MSc"
"Law, Social Sci",China University of Political Science and Law,Beijing,~75%,Yes,"Law, politics, social sciences",Mar/Sept,Day,Partial,"LLB, LLM"
Sci & Eng,Beijing University of Chemical Technology,Beijing,~72%,Yes,Chemical engineering & sciences,Mar/Sept,Day,Partial,"BEng, MSc"
Humanities,Communication University of China,Beijing,~70%,Yes,"Media, communications, languages",Mar/Sept,Day,Partial,"BA, MA"
Humanities,Shanghai International Studies University,Shanghai,~72%,Yes,Languages & international studies,Mar/Sept,Day,Partial,"BA, MA"
Humanities,Beijing Language and Culture University,Beijing,~70%,Yes,Chinese language & cultural studies,Mar/Sept,Day,Partial,"BA, MA"
Humanities,Dalian University of Foreign Languages,Dalian,~65%,Yes,Language & international studies,Mar/Sept,Day,Partial,"BA, MA"
Arts,Central Academy of Fine Arts,Beijing,~70%,Yes,Fine arts & design,Mar/Sept,Day,No,"BFA, MFA"
Arts,Beijing Film Academy,Beijing,~70%,Yes,"Film, media arts",Mar/Sept,Day,No,BFA
Arts,Shanghai Conservatory of Music,Shanghai,~70%,Yes,Music & performance arts,Mar/Sept,Day,No,"BM, MM"
Arts,China Academy of Art,Hangzhou,~70%,Yes,Visual arts & design,Mar/Sept,Day,No,"BFA, MFA"
Sci & Eng,Southwest Petroleum University,Sichuan,~70%,Yes,Petroleum engineering & geosciences,Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,North China Electric Power University,Beijing,~70%,Yes,Electrical & energy engineering,Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,Zhejiang A & F University,Hangzhou,~70%,Yes,Agricultural sciences & forestry,Mar/Sept,Day,No,"BSc, MSc"
Sci & Eng,Jiangsu University,Zhenjiang,~70%,Yes,Tech & applied sciences,Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,University of Science and Technology Beijing,Beijing,~75%,Yes,Sciences & engineering,Mar/Sept,Day,Yes,"BSc, MSc"
Humanities,University of International Business and Economics,Beijing,~75%,Yes,Business & economics,Mar/Sept,Day,Partial,"BBA, MSc"
Sci & Eng,East China University of Science and Technology,Shanghai,~70%,Yes,Sciences & engineering,Mar/Sept,Day,No,"BEng, MSc"
Sci & Eng,Hohai University Changzhou,Changzhou,~70%,Yes,Civil & environmental engineering,Mar/Sept,Day,No,BEng
Sci & Eng,Harbin Engineering University,Harbin,~70%,Yes,Nautical & marine engineering,Mar/Sept,Day,No,"BEng, MSc"
Comprehensive,Jiangnan University,Wuxi,~70%,Yes,"Food science, engineering",Mar/Sept,Day,Yes,"BSc, MSc"
Multiple,Aba Teachers University,Shuimo,~60%,Yes,"Teacher education, humanities",Mar/Aug,Day,No,"BA, BEd"
Sci & Agri,Agricultural University of Hebei,Baoding,~65%,Yes,"Agriculture, agri?bio",Mar/Aug,Day,No,"BSc Agri, MSc"
Sci & Eng,Anhui Sanlian University,Hefei,~60%,Yes,Applied sciences,Mar/Aug,Day,No,BSc Sci
Sci & Tech,Anhui University of Science & Technology,Huainan,~65%,Yes,"Engineering, sciences",Mar/Aug,Day,No,"BSc, MSc"
Social Sci,Anhui Normal University,Wuhu,~60%,Yes,"Education, humanities",Mar/Aug,Day,No,"BA, BSc"
Finance,Anhui University of Finance & Economics,Bengbu,~65%,Yes,Business & finance,Mar/Aug,Day,No,"BBA, MSc"
Sci & Tech,Bohai University,Qinhuangdao,~60%,Yes,Arts & sciences,Mar/Aug,Day,No,"BA, BSc"
Sci & Tech,Gansu Agricultural University,Lanzhou,~60%,Yes,Agriculture & life sciences,Mar/Aug,Day,No,BSc Agri
Sci & Tech,Hebei University of Science & Technology,Tangshan,~60%,Yes,Engineering & sciences,Mar/Aug,Day,No,"BEng, BSc"
Sci & Eng,Hubei University,Wuhan,~60%,Yes,Sciences & technology,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Hunan University of Technology,Hunan,~60%,Yes,Tech & engineering,Mar/Aug,Day,No,"BEng, MSc"
Humanities,Hunan Normal University,Hunan,~60%,Yes,Education & arts,Mar/Aug,Day,No,"BA, MA"
Sci & Eng,Jiangsu University of Science & Technology,Zhenjiang,~65%,Yes,Applied sciences,Mar/Aug,Day,No,"BSc, MSc"
Humanities,Ludong University,Yantai,~60%,Yes,"Sciences, arts",Mar/Aug,Day,No,"BA, BSc"
Arts,North China University of Science and Technology,Tangshan,~60%,Yes,Sciences & technology,Mar/Aug,Day,No,"BSc, Eng"
Sci & Eng,Shandong University of Traditional Chinese Medicine,Jinan,~65%,Yes,Traditional medicine,Mar/Aug,Day,No,"BMed, MSc"
Sci & Eng,Southwest University of Finance & Economics,Chengdu,~70%,Yes,Finance & economics,Mar/Aug,Day,No,"BBA, MSc"
Sci & Eng,University of International Relations,Beijing,~65%,Yes,Social sciences & policy,Mar/Aug,Day,No,"BA, MA"
Sci & Eng,Changsha University,Changsha,~60%,Yes,Tech & engineering,Mar/Aug,Day,No,"BEng, BSc"
Sci & Eng,Shandong University of Finance and Economics,Jinan,~65%,Yes,Economics & finance,Mar/Aug,Day,No,"BBA, MSc"
Sci & Eng,Ningbo University,Ningbo,~60%,Yes,"Arts, sciences",Mar/Aug,Day,Partial,"BA, BSc"
Sci & Eng,Chongqing University of Posts and Telecommunications,Chongqing,~65%,Yes,Telecom & IT,Mar/Aug,Day,No,"BEng, BSc"
Sci & Eng,Xiï¿½an Petroleum University,Xiï¿½an,~60%,Yes,Petroleum engineering,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Beijing Institute of Graphic Communication,Beijing,~60%,Yes,Design & communications,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Chongqing University of Technology,Chongqing,~60%,Yes,Applied tech & engineering,Mar/Aug,Day,No,"BEng, MSc"
Sci & Eng,Xinjiang Medical University,Xinjiang,~65%,Yes,Medicine & health,Mar/Aug,Day,No,"MBBS, MSc"
Sci & Eng,Shandong Normal University,Shandong,~60%,Yes,Sciences & education,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Bohai University,Liaoning,~60%,Yes,Arts & science programs,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Gansu University of Chinese Medicine,Lanzhou,~60%,Yes,Traditional medicine programs,Mar/Aug,Day,No,BMed
Sci & Eng,Shaanxi Normal University,Xiï¿½an,~60%,Yes,Education & sciences,Mar/Aug,Day,No,"BA, MA"
Sci & Eng,New York University Shanghai,Shanghai,~85%,Yes,International liberal arts,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Southwest University,Chongqing,~60%,Yes,Humanities & sciences,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,China University of Petroleum (East China),Qingdao,~70%,Yes,Petroleum & energy engineering,Mar/Aug,Day,No,"BEng, MSc"
Multidisciplinary,Beijing Polytechnic University,Beijing,~65%,Yes,"Engineering, applied tech",Mar/Aug,Day,No,"BEng, BSc"
Sci & Eng,Beijing Union University,Beijing,~60%,Yes,Sciences & business,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Beijing University of Chinese Medicine,Beijing,~70%,Yes,Traditional medicine & pharmacy,Mar/Aug,Day,No,"BMed, BPharm"
Sci & Eng,Beijing University of Technology,Beijing,~70%,Yes,Engineering & tech,Mar/Aug,Day,No,"BEng, MSc"
Humanities,Beijing Foreign Studies University,Beijing,~70%,Yes,Languages & social sciences,Mar/Aug,Day,Partial,"BA, MA"
Sci & Tech,Beijing University of Posts & Telecommunications,Beijing,~70%,Yes,Telecom & computing,Mar/Aug,Day,Partial,"BEng, MSc"
Sci & Eng,Beijing Institute of Graphic Communication,Beijing,~60%,Yes,Design & communication,Mar/Aug,Day,No,"BA, BSc"
Sci & Eng,Beijing Jiaotong University,Beijing,~72%,Yes,Transportation & IT,Mar/Aug,Day,Partial,"BEng, MSc"
Humanities,Beijing Language & Culture University,Beijing,~70%,Yes,Languages & culture,Mar/Aug,Day,Partial,"BA, MA"
Humanities,Communication University of China,Beijing,~70%,Yes,"Media, communications",Mar/Aug,Day,Partial,"BA, MA"
